block,policy,success,time (s),collisions,wrong block,How easy was the task (?/5),How in control did you feel when performing this task?,How much do you believe your inputs affected the trajectory of the robot?
Left,Baseline,FALSE,20,0,FALSE,2,2,2
Right,Pilot,FALSE,20,5,FALSE,1,1,2
Left,Baseline,FALSE,20,0,FALSE,1,2,2
Right,Baseline,FALSE,20,0,FALSE,1,1,1
Left,Baseline,FALSE,20,0,FALSE,1,1,1
Left,Baseline,FALSE,20,0,FALSE,2,2,2
Left,NECL,FALSE,20,0,FALSE,1,3,3
Right,Pilot,TRUE,11.27,3,FALSE,2,3,3
Right,Pilot,TRUE,19.04,7,FALSE,2,2,2
Left,NECL,FALSE,20,1,FALSE,2,2,2
Right,Baseline,TRUE,19.69,0,FALSE,3,3,3
Right,Pilot,TRUE,11.4,2,FALSE,3,3,3
Right,Pilot,TRUE,15.66,3,FALSE,3,4,3
Left,Pilot,TRUE,15.35,3,FALSE,4,4,4
Left,NECL,TRUE,13.47,0,FALSE,4,4,4
Left,Pilot,FALSE,20,7,FALSE,1,1,1
Right,Baseline,FALSE,20,0,FALSE,1,1,1
Left,NECL,TRUE,11.97,0,FALSE,5,5,5
Left,Baseline,FALSE,20,0,FALSE,1,1,1
Left,Baseline,TRUE,19.56,0,FALSE,5,3,2
Right,NECL,FALSE,20,0,TRUE,2,2,2
Right,Pilot,TRUE,19.55,4,FALSE,3,3,3
Right,NECL,FALSE,20,1,FALSE,1,1,1
Right,NECL,FALSE,20,0,FALSE,1,1,1
Right,Baseline,TRUE,19.98,0,FALSE,4,4,4
Left,NECL,TRUE,14.34,0,FALSE,5,5,5
Left,Baseline,FALSE,20,0,FALSE,2,2,2
Right,Pilot,FALSE,20,7,FALSE,1,1,1
Left,Pilot,FALSE,20,5,FALSE,2,3,1
Right,NECL,FALSE,20,1,FALSE,2,1,1
Left,Baseline,FALSE,20,0,TRUE,1,1,1
Right,NECL,FALSE,20,1,FALSE,2,3,3
Right,Baseline,FALSE,20,0,TRUE,2,1,1
Left,Pilot,FALSE,20,6,FALSE,2,2,2
Left,Pilot,FALSE,20,4,FALSE,2,2,2
Left,NECL,FALSE,20,0,TRUE,2,1,1
Right,Pilot,FALSE,20,10,FALSE,2,2,2
Right,NECL,TRUE,19.98,0,FALSE,3,3,3
Left,Pilot,FALSE,20,5,FALSE,2,2,2
Right,NECL,FALSE,20,0,FALSE,2,3,3
Left,NECL,TRUE,13.93,0,FALSE,2,3,3
Left,NECL,TRUE,15.84,0,FALSE,2,4,4
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Left,Pilot,FALSE,20,7,FALSE,2,2,2
Right,Baseline,TRUE,19.97,0,FALSE,5,5,5
Left,Baseline,FALSE,20,0,FALSE,2,2,2
Right,NECL,FALSE,20,0,FALSE,3,2,2
Right,NECL,TRUE,12.2,0,FALSE,3,3,4
Left,Baseline,FALSE,20,0,FALSE,3,2,2
Left,Pilot,TRUE,11.52,4,FALSE,4,4,4
Right,NECL,TRUE,16.45,0,FALSE,3,2,1
Left,NECL,TRUE,12.95,0,FALSE,4,4,4
Right,Pilot,TRUE,13.22,4,FALSE,3,3,3
Left,Pilot,FALSE,20,8,FALSE,2,2,2
Left,NECL,TRUE,16.13,0,FALSE,3,3,3
Right,Pilot,FALSE,20,11,FALSE,2,2,3
Right,Baseline,TRUE,19.91,2,FALSE,3,2,2
Left,Pilot,FALSE,20,9,FALSE,2,3,3
Right,Baseline,FALSE,20,0,FALSE,2,1,1
Right,Baseline,FALSE,20,0,TRUE,1,1,1
