block,policy,success,time (s),collisions,wrong block,How easy was the task (?/5),How in control did you feel when performing this task?,How much do you believe your inputs affected the trajectory of the robot?
Right,Pilot,TRUE,19.27,4,FALSE,3,3,4
Right,NECL,FALSE,20,0,FALSE,1,2,2
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Left,Baseline,FALSE,20,0,TRUE,1,1,1
Right,NECL,FALSE,20,0,TRUE,1,1,1
Right,NECL,FALSE,20,0,FALSE,2,2,2
Right,NECL,TRUE,12.78,0,FALSE,3,4,4
Left,NECL,TRUE,12.12,0,FALSE,4,4,4
Right,NECL,FALSE,20,0,FALSE,2,2,3
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Left,Baseline,TRUE,18.4,0,FALSE,3,2,2
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Left,Pilot,FALSE,20,7,FALSE,3,3,4
Left,NECL,TRUE,12.24,0,FALSE,4,4,4
Right,Baseline,FALSE,20,0,FALSE,3,3,4
Right,Pilot,TRUE,12.63,3,FALSE,5,4,4
Left,Pilot,TRUE,12.21,2,FALSE,4,4,4
Left,Baseline,TRUE,19.98,0,FALSE,3,3,3
Left,Baseline,FALSE,20,0,TRUE,1,1,1
Left,Pilot,TRUE,17.84,7,FALSE,3,4,4
Left,Baseline,FALSE,20,0,TRUE,1,1,1
Right,Pilot,FALSE,20,6,FALSE,3,4,4
Left,NECL,FALSE,20,0,TRUE,1,1,2
Right,Baseline,FALSE,20,0,FALSE,2,2,2
Left,NECL,FALSE,20,1,FALSE,2,2,2
Right,Pilot,FALSE,20,4,FALSE,2,3,3
Left,NECL,TRUE,11.23,0,FALSE,4,4,3
Right,Pilot,TRUE,13.54,2,FALSE,4,4,4
Right,NECL,FALSE,20,0,FALSE,2,2,2
Right,Baseline,FALSE,20,0,FALSE,2,1,1
Left,NECL,FALSE,20,0,TRUE,1,1,2
Right,Baseline,FALSE,20,0,FALSE,2,3,3
Right,Pilot,TRUE,12.29,5,FALSE,4,4,4
Right,Pilot,FALSE,20,7,FALSE,3,4,4
Right,Baseline,TRUE,19.85,0,FALSE,4,3,3
Left,Pilot,TRUE,14.3,2,FALSE,3,3,3
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Left,NECL,TRUE,12.06,0,FALSE,4,4,4
Right,Pilot,TRUE,14.27,2,FALSE,4,3,4
Left,Pilot,TRUE,10.16,3,FALSE,4,4,4
Left,Pilot,TRUE,15.65,3,FALSE,4,3,3
Left,NECL,FALSE,20,2,FALSE,2,3,2
Right,NECL,FALSE,20,1,FALSE,2,2,2
Left,Baseline,FALSE,20,0,FALSE,3,2,2
Right,Pilot,TRUE,11.95,3,FALSE,3,4,4
Left,Pilot,FALSE,20,5,FALSE,2,3,3
Left,Pilot,FALSE,20,6,FALSE,3,4,3
Right,NECL,FALSE,20,0,FALSE,2,2,2
Left,NECL,FALSE,20,0,TRUE,1,1,1
Left,Pilot,TRUE,19.37,6,FALSE,3,4,4
Left,Baseline,FALSE,20,0,FALSE,3,2,3
Left,Baseline,FALSE,20,0,FALSE,3,2,3
Left,Pilot,TRUE,17.46,6,FALSE,4,4,4
Left,Baseline,FALSE,20,0,FALSE,2,3,3
Left,Baseline,FALSE,20,0,FALSE,2,3,2
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Left,NECL,TRUE,11.3,0,FALSE,4,3,3
Right,NECL,FALSE,20,1,FALSE,3,2,2
Right,Pilot,FALSE,20,9,FALSE,2,3,3
Right,NECL,FALSE,20,1,FALSE,2,1,2
